amount,year,area,duration,title,subject,population,strategy,transaction
"TOTAL AMOUNT:  $2,250,000",FISCAL YEAR: 2024,PROGRAM AREA: National Program,GRANT DURATION: 1 year,GRANT TITLE: National Center for Civic Innovation,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Capacity-building and technical assistance,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $2,100,000",FISCAL YEAR: 2024,PROGRAM AREA: Global Policy and Advocacy,GRANT DURATION: 1 year,GRANT TITLE: The Asahi Shimbun Company,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $2,100,000",FISCAL YEAR: 2024,PROGRAM AREA: Journalism,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Media access and policy; Media access and policy, general; Journalism, news and information; Constituency journalism",POPULATION SERVED: Adults; Self-employed people; Artists and performers,SUPPORT STRATEGY: Recordings and broadcasts; Online media; Program support,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $2,000,000",FISCAL YEAR: 2024,PROGRAM AREA: Life Sciences,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Presentations and productions,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $2,000,000",FISCAL YEAR: 2024,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $2,000,000",FISCAL YEAR: 2024,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Public engagement and education,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $1,878,454",FISCAL YEAR: 2024,PROGRAM AREA: Social and community well-being,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Public engagement and education; Program support,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $1,601,031",FISCAL YEAR: 2024,PROGRAM AREA: Mathematical and Physical Sciences,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Online media; Information technology; Research and evaluation,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $1,515,000",FISCAL YEAR: 2024,PROGRAM AREA: Civic Engagement and Government,GRANT DURATION: 5 years,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Multiracial people; Indigenous peoples; People of African descent; Activists,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $1,500,000",FISCAL YEAR: 2024,PROGRAM AREA: Creativity and Free Expression; Other Grantmaking,GRANT DURATION: 3 years and 6 months,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Journalism,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $1,498,648",FISCAL YEAR: 2024,,GRANT DURATION: 2 years,"GRANT TITLE: Supporting investigative journalism on healthcare at ProPublica, 2024--2026","SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,"SUPPORT STRATEGY: Policy, advocacy and systems reform; Public engagement and education; Program support",TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $1,450,000",FISCAL YEAR: 2024,,GRANT DURATION: 2 years,GRANT TITLE: Strengthening Youth Voice for Health Equity,"SUBJECT:Journalism, news and information; Constituency journalism",POPULATION SERVED: Children and youth; Adolescents; Adults,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $1,270,000",FISCAL YEAR: 2024,PROGRAM AREA: Journalism,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Outreach,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $1,250,000",FISCAL YEAR: 2024,PROGRAM AREA: Other Grantmaking,GRANT DURATION: 2 years,,"SUBJECT:Media Content and Platforms; Print; Journalism, news and information; Investigative journalism",POPULATION SERVED: Ethnic and racial groups,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $1,215,000",FISCAL YEAR: 2024,PROGRAM AREA: Civic Engagement and Government,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support; Program support,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $1,100,000",FISCAL YEAR: 2024,PROGRAM AREA: Social and community well-being,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Public engagement and education; Program support,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $1,000,000",FISCAL YEAR: 2024,PROGRAM AREA: U.S. Program,GRANT DURATION: 1 year,GRANT TITLE: National Council on Teacher Quality,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Research and evaluation,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $1,000,000",FISCAL YEAR: 2024,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $1,000,000",FISCAL YEAR: 2024,,GRANT DURATION: 3 years,GRANT TITLE: Equipping Follow South Jersey to engage local communities with the tools and resources for community-driven civic information,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $882,269",FISCAL YEAR: 2024,PROGRAM AREA: U.S. Program,GRANT DURATION: 1 year,"GRANT TITLE: Quality Information Partners, Inc.","SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,"SUPPORT STRATEGY: Data and measurement systems; Network-building and collaboration; Policy, advocacy and systems reform; Program support",TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $800,000",FISCAL YEAR: 2024,PROGRAM AREA: Other Grantmaking,GRANT DURATION: 1 year and 6 months,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $750,000",FISCAL YEAR: 2024,,GRANT DURATION: 1 year,"GRANT TITLE: Strengthening local news organizations led by traditionally marginalized and Black, Indigenous, and other people of color toward health equity","SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups,SUPPORT STRATEGY: Capacity-building and technical assistance; General support,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $750,000",FISCAL YEAR: 2024,PROGRAM AREA: Creativity and Free Expression; Other Grantmaking,GRANT DURATION: 3 years,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $715,000",FISCAL YEAR: 2024,PROGRAM AREA: Other Grantmaking,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups; Artists and performers,SUPPORT STRATEGY: General support; Program support,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $689,556",FISCAL YEAR: 2024,,GRANT DURATION: 2 years,GRANT TITLE: Continuing support for the USC Annenberg Center for Health Journalism National Fellowship,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Academics,SUPPORT STRATEGY: Outreach; Program support,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $515,000",FISCAL YEAR: 2024,PROGRAM AREA: Other Grantmaking,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups; Transgender people,SUPPORT STRATEGY: General support; Program support,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $500,000",FISCAL YEAR: 2024,PROGRAM AREA: Journalism,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism",POPULATION SERVED: Academics; Activists,SUPPORT STRATEGY: Public engagement and education,TRANSACTION TYPE: Cash grants
"TOTAL AMOUNT:  $500,000",FISCAL YEAR: 2024,PROGRAM AREA: Technology and Society,GRANT DURATION: 2 years,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Media applications and tools; Media applications and tools, general; Media access and policy; Media democracy; Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants
