amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
"TOTAL AMOUNT:  $21,000,000",FISCAL YEAR: 2020,PROGRAM AREA: Media & Communications,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Media access and policy; Open government; Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",First Look Institute Inc,"New York City, NY United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $17,326,366",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,NPR FOUNDATION,"Washington, DC United States","National Public Radio, Inc.","Washington, DC United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $9,933,123",FISCAL YEAR: 2020,PROGRAM AREA: Global Growth & Opportunity,GRANT DURATION: 1 year,GRANT TITLE: Boyce Thompson Institute for Plant Research Inc.,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Researchers,"SUPPORT STRATEGY: Program support; Policy, advocacy and systems reform; Public engagement and education",TRANSACTION TYPE: Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States","Boyce Thompson Institute for Plant Research, Inc.","Ithaca, NY United States",To strengthen the only global communications platform that aims to elevate pro-science voices on agricultural technologies.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $5,150,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,National Philanthropic Trust,"Jenkintown, PA United States",SOLUTIONS JOURNALISM NETWORK INC,"New York City, NY United States","Public, societal benefit",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $5,000,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Mackenzie Scott,"Seattle, WA United States",SOLUTIONS JOURNALISM NETWORK INC,"New York City, NY United States","MacKenzie Scott made an unrestricted grant of $5,000,000 to Solutions Journalism Network. Mission: Our mission is to transform journalism so that all people have access to news that helps them envision and build a more equitable and sustainable world.",https://yieldgiving.com/gifts/
"TOTAL AMOUNT:  $5,000,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Children and youth; Adults; Ethnic and racial groups,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Wend II Inc,"Bentonville, AR United States",ISSUE ONE,"Washington, DC United States",Special Projects COVID-19 Relief Efforts,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $4,742,798",FISCAL YEAR: 2020,PROGRAM AREA: Gender Equality|Global Health,GRANT DURATION: 1 year,GRANT TITLE: Trustees of the University of Pennsylvania,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Economically disadvantaged people,SUPPORT STRATEGY: Data and measurement systems; Information and referral; Research,TRANSACTION TYPE: Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,"Philadelphia, PA United States","to accelerate MNCH-related research and information dissemination by making more priority data available through the UPenn ClinEpiDB platform, and by advancing the platform's core capabilities in data discovery, access, and analysis",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $4,000,000",FISCAL YEAR: 2020,PROGRAM AREA: Global Policy and Advocacy,GRANT DURATION: 1 year,"GRANT TITLE: National Public Radio, Inc.","SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Economically disadvantaged people,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States","National Public Radio, Inc",WA United States,"to support high-quality, evidence-based, and sustained coverage of global health and development issues including as affecting the world's poorest and most vulnerable people",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $3,970,745",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Adults; Parents; Academics; Activists,SUPPORT STRATEGY: Program support; General support,TRANSACTION TYPE: Cash grants,NEO Philanthropy,"New York City, NY United States",Markup News Inc,"New York City, NY United States",Program Grant,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $3,600,000",FISCAL YEAR: 2020,PROGRAM AREA: Global Policy and Advocacy,GRANT DURATION: 1 year,"GRANT TITLE: CNN Interactive Group, Inc.","SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Women and girls,SUPPORT STRATEGY: Advocacy; Presentations and productions; Public engagement and education,TRANSACTION TYPE: Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",Cnn Interactive Group Inc,"ATLANTA, GA United States","to provide support to CNN to report on gender equality with a particular focus on least developed countries, producing journalism on the everyday inequalities endured by women and girls across the world.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $3,499,032",FISCAL YEAR: 2020,PROGRAM AREA: Global Policy and Advocacy,GRANT DURATION: 1 year,GRANT TITLE: Guardian News & Media Limited,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,"SUPPORT STRATEGY: Policy, advocacy and systems reform; Publications; Program support",TRANSACTION TYPE: Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States","Guardian News and Media, Limited","London, United Kingdom",to support The Guardian to produce regular reporting on global health and development topics in its Global Development section,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $3,333,300",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Huntsman Foundation,"Salt Lake City, UT United States",The Utah Journalism Foundation,"Salt Lake City, UT United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $3,037,482",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Telecommunications infrastructure; Telecommunications Infrastructure, general; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Corporation for Public Broadcasting,"Washington, DC United States",Georgia Public Telecommunications Commission,"Atlanta, GA United States",TVCSG,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $3,000,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Academics,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Frechette Family Foundation,"Minneapolis, MN United States",Marquette University,"Milwaukee, WI United States",Perry and alicia o'brienfellowship in publicservice journalism,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $3,000,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism",POPULATION SERVED: Adults,SUPPORT STRATEGY: Public engagement and education; Program support,TRANSACTION TYPE: Cash grants,John and Mary Tu Foundation,"Fountain Valley, CA United States",SOUTHERN CALIFORNIA PUBLIC RADIO,"Pasadena, CA United States",SUPPORT FOR PUBLIC MEDIA,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $3,000,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,SUBJECT:Investigative journalism,POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Sandler Foundation,"San Francisco, CA United States",ProPublica,"New York City, NY United States",General support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
