index,amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
0,"$16,966,810",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth,General support,Cash grants,NPR FOUNDATION,"Washington, DC United States","National Public Radio, Inc.","Washington, DC United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1,"$14,984,737",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Advocacy; Ethics and accountability; Systems reform,Cash grants,The Pew Charitable Trusts,"Philadelphia, PA United States","PRO Publica, Inc.","New York City, NY United States",DAF GRANT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2,"$7,560,000",2021,"Natural Resources and Climate Change; Gender, Race and Ethnic Justice; Civic Engagement and Government; Beyond Current Program Structure; Future of Work(ers)",3 years,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism",Women and girls,General support,Cash grants,The Ford Foundation,"New York City, NY United States","Rockefeller Philanthropy Advisors, Inc.","New York City, NY United States","Core support for the creation of the International Resource for Impact and Storytelling (IRIS), an external donor collaborative supporting a global-south moving-image storytelling network, narrative analysis and shared learning space for donors",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3,"$7,354,586",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism education",Academics,Not Specified,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",University of Southern California - Annenberg School for Communication and Journalism,"Los Angeles, CA United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
4,"$6,965,000",2021,,1 year,,"Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",Children and youth; Adults,Program support,Cash grants,Corporation for Public Broadcasting,"Washington, DC United States","National Public Radio, Inc.","Washington, DC United States",PUBINT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
5,"$6,000,000",2021,Beyond Current Program Structure,3 years,,"Journalism, news and information; Investigative journalism",Ethnic and racial groups,General support,Cash grants,The Ford Foundation,"New York City, NY United States",BOREALIS PHILANTHROPY,"Minneapolis, MN United States","Core support to the Racial Equity in Journalism Fund, a donor collaborative to assist and strengthen people of color-led and -serving media institutions, particularly around civic news coverage and core support for fund strengthening",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
6,"$5,000,000",2021,Equitable Recovery,3 years,,"Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",People of African descent; Researchers; Students; Teachers,Fellowships; Leadership and professional development; Program support,Cash grants,John D. and Catherine T. MacArthur Foundation,"Chicago, IL United States",The Howard University,"Washington, DC United States",In support of the Center for Journalism and Democracy.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
7,"$5,000,000",2021,Civic and Community,5 years and 3 months,,"Journalism, news and information; Advocacy journalism",Adults,Program support; Public engagement and education,Cash grants,The Annenberg Foundation,"Conshohocken, PA United States",National Press Club Journalism Institute,"Washington, DC United States","To support the Fallen Journalists Memorial Foundation in establishing the Fallen Journalists Memorial in Washington, D.C.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
8,"$4,650,000",2021,,1 year,,"Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Open Society Foundation,"New York City, NY United States","Media Development Investment Fund, Inc.","New York City, NY United States",to provide general support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
9,"$4,627,240",2021,Global Policy and Advocacy,1 year,Stichting European Journalism Centre,"Journalism, news and information; Investigative journalism",Not Specified,"Policy, advocacy and systems reform; Outreach",Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",Stichting European Journalism Centre,"Maastricht, Netherlands","to support a challenge fund to incentivize solutions journalism approaches in newsrooms in the UK, France and Germany.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
