amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
"$2,250,000",2024,National Program,1 year,National Center for Civic Innovation,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Capacity-building and technical assistance,Cash grants,Carnegie Corporation of New York,"New York City, NY United States",NATIONAL CENTER FOR CIVIC INNOVATION INC,"New York City, NY United States",For core support of OpenSciEd,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$2,100,000",2024,Global Policy and Advocacy,1 year,The Asahi Shimbun Company,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",The Asahi Shimbun Company,,to support Asahi Shimbun coverage of development and global health in Africa and other low- and middle-income countries and engage its audiences through high quality journalism.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$2,100,000",2024,Journalism,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Media access and policy; Media access and policy, general; Journalism, news and information; Constituency journalism",Adults; Self-employed people; Artists and performers,Recordings and broadcasts; Online media; Program support,Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States","The Video Consortium, Inc.","Mt Kisco, NY United States","To launch templatized local nonfiction video hubs, a professionalized events arm, and scalable digital tools tosolidify video as a more durablefuturecomponent of local journalism",https://knightfoundation.org/grants/
"$2,000,000",2024,Life Sciences,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,Presentations and productions,Cash grants,John Templeton Foundation,"Conshohocken, PA United States",National Geographic Society,"Washington, DC United States","The National Geographic Society will support a three-year initiative to identify and support new and leading global storytellers to advance the understanding of deep and perplexing questions facing humankind and our planet. The Society will invite storytellers to create stories that address Big Questions in a variety of media - such as film, video, digital, photography, journalism, podcast, exhibition - across diverse platforms and distribution sources.",https://www.templeton.org/grants/grant-database
"$2,000,000",2024,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Mackenzie Scott,"Seattle, WA United States",Local Media Foundation,"Lake City, MI United States","To ensure a healthy future for local journalism, which is essential to a strong democracy.",https://yieldgiving.com/gifts
"$2,000,000",2024,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Public engagement and education,Cash grants,William Penn Foundation,"Philadelphia, PA United States",The Lenfest Institute for Journalism,"Philadelphia, PA United States","Enhance local government accountability and increase civic engagement through nonpartisan, multimedia public interest reporting and community listening",https://williampennfoundation.org/view-grants
"$1,878,454",2024,Social and community well-being,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,Public engagement and education; Program support,Cash grants,Charles & Margery Barancik Foundation Inc,"Sarasota, FL United States",Charles & Margery Barancik Foundation Inc,"Sarasota, FL United States",To create a more informed citizenry through quality news coverage of local stories,https://barancikfoundation.org/grants/
"$1,601,031",2024,Mathematical and Physical Sciences,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,Online media; Information technology; Research and evaluation,Cash grants,John Templeton Foundation,"Conshohocken, PA United States",Indiana University,"Bloomington, IN United States","This project proposes three major initiatives that leverage the ARDA's newly rebuilt website architecture. Building on our Strengths: Partnering with the University of Sheffield, this project will strengthen the Data Archive by adding 100 newly curated data files. We will optimize the speed with which we display data and metadata.",https://www.templeton.org/grants/grant-database
"$1,562,868",2024,,2 years,Continuing support for the PLACES project in delivering the high-quality local data necessary to advance effective public health action and equity,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Data and measurement systems; Equal access; Online media; Information technology,Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States",National Foundation for the Ctrs for Disease Contr & Prevention Inc,"Atlanta, GA United States",To (1) create high-quality local data for health by using a multilevel statistical modeling framework to generate small-area estimates for health measures and social-determinants-of-health measures at the census-tract level for the entire nation and (2) enable access to those data through maintenance of a website and the execution of a communications strategy.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$1,515,000",2024,Civic Engagement and Government,5 years,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Multiracial people; Indigenous peoples; People of African descent; Activists,General support,Cash grants,The Ford Foundation,"New York City, NY United States",Associação Coletivo Cultural,"Três Corações, Brazil","Core support for Mídia Ninja to foster innovative and decentralized communication networks, and core support for Mídia Ninja's institutional strengthening",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$1,500,000",2024,Creativity and Free Expression; Other Grantmaking,3 years and 6 months,,"Journalism, news and information; Journalism, news, and information, general",Journalism,Program support,Cash grants,The Ford Foundation,"New York City, NY United States",The New York Times Company,"New York City, NY United States",For the Headway journalism initiative which produces journalism that addresses ways to build equitable places and overcome the obstacles to progress,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$1,498,648",2024,,2 years,"Supporting investigative journalism on healthcare at ProPublica, 2024--2026","Journalism, news and information; Investigative journalism",Not Specified,"Policy, advocacy and systems reform; Public engagement and education; Program support",Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States","PRO Publica, Inc.","New York City, NY United States","To support healthcare-related investigative journalism at ProPublica, Inc.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$1,450,000",2024,,2 years,Strengthening Youth Voice for Health Equity,"Journalism, news and information; Constituency journalism",Children and youth; Adolescents; Adults,Program support,Cash grants,California Endowment,"Los Angeles, CA United States",Youth Radio,"Oakland, CA United States","To support the collective narrative infrastructure of youth media voices throughout California while continuing legacy efforts of skill building, leadership development, mentoring and collective impact to support youth journalists in uplifting health equity issues.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$1,270,000",2024,Journalism,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Outreach,Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",The Conversation US,"Boston, MA United States",To connect local scholars to local/regional newsrooms to producestories that reflecttheir combined expertise and more deeply inform local audiences,https://knightfoundation.org/grants/
"$1,250,000",2024,Other Grantmaking,2 years,,"Media Content and Platforms; Print; Journalism, news and information; Investigative journalism",Ethnic and racial groups,General support,Cash grants,The Ford Foundation,"New York City, NY United States",BOREALIS PHILANTHROPY,"Minneapolis, MN United States","Core support to the Racial Equity in Journalism Fund, a donor collaborative to assist and strengthen people of color-led and -serving media institutions, particularly around civic news coverage",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$1,215,000",2024,Civic Engagement and Government,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,General support; Program support,Cash grants,The Ford Foundation,"New York City, NY United States","Journalism Development Network, Inc.","Washington, DC United States",General support to develop and equip a global network of investigative journalists in publishing their stories to expose crime and corruption for the public good and project support for institutional strengthening,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$1,100,000",2024,Social and community well-being,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,Public engagement and education; Program support,Cash grants,Charles & Margery Barancik Foundation Inc,"Sarasota, FL United States",Community News Collaborative Inc,"Sarasota, FL United States",To create a more informed citizenry through quality news coverage of local stories,https://barancikfoundation.org/grants/
"$1,000,000",2024,U.S. Program,1 year,National Council on Teacher Quality,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Research and evaluation,Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",National Council on Teacher Quality,WA United States,To provide additional data on teachers' use of time.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$1,000,000",2024,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth,Not Specified,Cash grants,Greater Washington Community Foundation,"Washington, DC United States",America First Policy Institute,"Arlington, VA United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$1,000,000",2024,,3 years,Equipping Follow South Jersey to engage local communities with the tools and resources for community-driven civic information,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States",Hopeloft,"Bridgeton, NJ United States","To support the expansion and growth of the Follow South Jersey news and information program in the cities of Bridgeton, Camden, and Salem.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$882,269",2024,U.S. Program,1 year,"Quality Information Partners, Inc.","Journalism, news and information; Journalism, news, and information, general",Not Specified,"Data and measurement systems; Network-building and collaboration; Policy, advocacy and systems reform; Program support",Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States","Quality Information Partners, Inc.",VA United States,to convene communities of practice around use of postsecondary data for improving K12 student success,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$800,000",2024,Other Grantmaking,1 year and 6 months,,"Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups,General support,Cash grants,The Ford Foundation,"New York City, NY United States",United States Artists Inc,"Chicago, IL United States","Core support for Disability Futures, a fellowship initiative to spotlight the work of disabled creatives across disciplines and geography and amplify their voices individually and collectively",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$750,000",2024,,1 year,"Strengthening local news organizations led by traditionally marginalized and Black, Indigenous, and other people of color toward health equity","Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups,Capacity-building and technical assistance; General support,Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States",Pivot Fund,"Lawrenceville, GA United States",To support The Pivot Fund in its launch of a competitive grant program that will ultimately award general operating support to 15 to 20 independent local grassroots digital news organizations in order to ensure equitable journalism and strengthen the capacity and sustainability of trusted news organizations serving communities in the South.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$750,000",2024,Creativity and Free Expression; Other Grantmaking,3 years,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,The Ford Foundation,"New York City, NY United States",Online News Association,"Washington, DC United States",General support for online and digital journalists to host inclusive and diverse conferences and training and build a network of journalists across America and the world,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"$715,000",2024,Other Grantmaking,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups; Artists and performers,General support; Program support,Cash grants,The Ford Foundation,"New York City, NY United States",Common Counsel Foundation,"Oakland, CA United States","Core support for Color Congress Initiative to actualize a reimagined documentary landscape toward one that strengthens people of color visibility, voice, and power; and project support for institutional strengthening of the Color Congress Initiative",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
