amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
"TOTAL AMOUNT:  $6,516,719",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Community Foundation of Greater Memphis Inc,"Memphis, TN United States",Memphis Fourth Estate Inc,"Memphis, TN United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,500,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Academics,"SUPPORT STRATEGY: General support; Policy, advocacy and systems reform",TRANSACTION TYPE: Cash grants,Robert R Mccormick Foundation,"Chicago, IL United States",UNIVERSITY OF NOTRE DAME DU LAC,"NOTRE DAME, IN United States","For Notre Dame Journalism, Ethics and Democracy Institute and general operating support",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $5,571,747",FISCAL YEAR: 2019,PROGRAM AREA: Global Development|Global Policy and Advocacy,GRANT DURATION: 1 year,GRANT TITLE: Stichting European Journalism Centre,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Low-income people,"SUPPORT STRATEGY: Policy, advocacy and systems reform; Program support",TRANSACTION TYPE: Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",Stichting European Journalism Centre,"Maastricht, Netherlands",to increase the capacity of the journalism community in Europe to report on global health and development issues,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $5,503,450",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism education",POPULATION SERVED: Academics,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",The Poynter Institute for Media Studies Inc,"St Petersburg, FL United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $5,500,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",The Miami Foundation,"Miami, FL United States","To supplement the Knight Foundation advised fund focusing on communities, journalism, and arts",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $5,000,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Recordings and broadcasts; Public engagement and education,TRANSACTION TYPE: Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",American Journalism Project Inc,"Washington, DC United States",To provide the lead investment in the American Journalism Project,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $4,265,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",Institute for Nonprofit News,"Beverly Hills, CA United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $4,000,000",FISCAL YEAR: 2019,PROGRAM AREA: Media and Communications,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",American Journalism Project Inc,"Washington, DC United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $3,766,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Advocacy; Ethics and accountability; Systems reform,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States","PRO Publica, Inc.","New York City, NY United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $3,075,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Adults; Low-income people; Incarcerated people,"SUPPORT STRATEGY: Policy, advocacy and systems reform; Program support",TRANSACTION TYPE: Cash grants,The Kohlberg Foundation Inc,"Armonk, NY United States",WILLIAM J BRENNAN JR CENTER FOR JUSTICE INC,"New York City, NY United States","For Programs in Democracy, Investigative Reporting, Voter Protection, Election Integrity and Criminal Justice Reform.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $3,000,000",FISCAL YEAR: 2019,PROGRAM AREA: Catholic Sisters,GRANT DURATION: 3 years,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Religious groups,SUPPORT STRATEGY: Network-building and collaboration; Publications,TRANSACTION TYPE: Cash grants,Conrad N Hilton Foundation,"Westlake Village, CA United States",NATIONAL CATHOLIC REPORTER PUBLISHING COMPANY,"Kansas City, MO United States","to support the worldwide operations of the Global Sisters Report, an international network of reporters, editors and guest authors writing and publishing stories about Catholic sisters online through globalsistersreport.org.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,843,095",FISCAL YEAR: 2019,PROGRAM AREA: Gender Equality|Global Policy and Advocacy,GRANT DURATION: 1 year,GRANT TITLE: Nation Media Group,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Advocacy; Equal access; Program support,TRANSACTION TYPE: Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",Nation Media Group,"Starehe, Kenya",to help support data driven coverage of gender equality and public health issues in Kenya,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,525,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Swanee Hunt Family Foundation,"Washington, DC United States",Hunt Alternatives,"Washington, DC United States","Inclusive security, demand abolition, political parity, prime movers programs",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,400,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Network-building and collaboration; Program creation,TRANSACTION TYPE: Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",The Miami Foundation,"Miami, FL United States",To create the Knight local free press legal network,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,400,000",FISCAL YEAR: 2019,PROGRAM AREA: Creativity and Free Expression,GRANT DURATION: 4 years,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Cross-border families; Ethnic and racial groups; Immigrants; People of Latin American descent,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Ford Foundation,"New York City, NY United States",The Futuro Media Group,"New York City, NY United States","General support to produce and distribute multimedia journalism that explores the diversity of the American experience, with a focus on communities of color and Latinx populations and core support for institutional strengthening measures",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,355,105",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support; Public engagement and education,TRANSACTION TYPE: Cash grants,"International Center for Journalists, Inc.","Washington, DC United States",Multiple Europe Recipients,,Regional investigative journalism network,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,314,694",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,NATIONAL CHRISTIAN CHARITABLE FOUNDATION INC,"Alpharetta, GA United States",Global Media Outreach,"Plano, TX United States",Evangelism,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,001,825",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Advocacy; Ethics and accountability; Systems reform,TRANSACTION TYPE: Cash grants,The Pew Charitable Trusts,"Philadelphia, PA United States","PRO Publica, Inc.","New York City, NY United States",DAF grant,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,000,000",FISCAL YEAR: 2019,,GRANT DURATION: 2 years,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Democracy Fund Inc,"Washington, DC United States",American Journalism Project Inc,"Washington, DC United States","This general operating grant to The American Journalism Project will support the organization's mission to make transformative investments in Civic News Organizations, building a new public service media that is governed by, sustained by and looks like the public it serves.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,000,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Leadership and professional development; Program support; Public engagement and education; Publications,TRANSACTION TYPE: Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",The Lenfest Institute for Journalism Special Asset Fund of Tpf,"Philadelphia, PA United States","To build a future for local news by preparing news leaders and enterprises with the skills, strategies",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,000,000",FISCAL YEAR: 2019,PROGRAM AREA: Research-Evaluation-Learning,GRANT DURATION: 2 years and 6 months,"GRANT TITLE: Conducting polling for RWJF on key health and health care issues and linking content to the new thematic areas and health equity, 2019-2021","SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Researchers,"SUPPORT STRATEGY: Outreach; Policy, advocacy and systems reform; Research",TRANSACTION TYPE: Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States",President and Fellows of Harvard College,"Cambridge, MA United States",To (1) continue conducting full-scale polls and funding a series of short questions on public opinion of key health issues and (2) leverage partnerships with national media organizations to disseminate findings and inspire dialogue.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,000,000",FISCAL YEAR: 2019,PROGRAM AREA: Printing and Publishing,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Advocacy; Ethics and accountability; Systems reform,TRANSACTION TYPE: Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States","PRO Publica, Inc.","New York City, NY United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,000,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Marcus Foundation,"Atlanta, GA United States",Foundation for American Content and Entertainment,"Farmington Hills, MI United States",General Operations,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $2,000,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Conferences and exhibitions; Network-building and collaboration; Online engagement; Program creation; Public engagement and education,TRANSACTION TYPE: Cash grants,The Schmidt Family Foundation,"Palo Alto, CA United States","Grist Magazine, Inc.","Seattle, WA United States",Launching The Fix,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,950,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support; Public engagement and education,TRANSACTION TYPE: Cash grants,Laura and John Arnold Foundation,"HOUSTON, TX United States",American Journalism Project Inc,"Washington, DC United States",To support civic news organizations' business development,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,750,000",FISCAL YEAR: 2019,PROGRAM AREA: Higher Education and Scholarship in the Humanities,GRANT DURATION: 2 years,"GRANT TITLE: Democracy and the Informed Citizen, Part 2","SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Individual development; Network-building and collaboration,TRANSACTION TYPE: Cash grants,The Andrew W. Mellon Foundation,"New York City, NY United States",Fed of State Humanities Councils,"Arlington, VA United States",To support closer connections and partnerships between the humanities and journalism in fostering an informed citizenry and a democratic society,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,677,650",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Ethics and accountability,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",Center for Public Integrity,"Washington, DC United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,650,000",FISCAL YEAR: 2019,PROGRAM AREA: Foundation-wide/,GRANT DURATION: 2 years,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: Recordings and broadcasts; Public engagement and education,TRANSACTION TYPE: Cash grants,The Wallace Foundation,"New York City, NY United States","National Public Radio, Inc.","Washington, DC United States",To support NPR’S coverage of education issues through a media sponsorship.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $1,633,583",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth; Families,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",NORTH TEXAS PUBLIC BROADCASTING INC,"Dallas, TX United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
