Foundation Name,EIN,Source,URL,State,Place-based,Geographic area(s) served,Subject area(s),Population(s) served,Year,Total revenue,Total expenses,Net income,Revenue source 1,Percent of total revenue 1,Revenue source 2,Percent of revenue 2,Revenue source 3,Percent of revenue 3,Other revenue sources,Percent of revenue other,Expense category 1,Proportion of total expenses 1,Expense category 2,Proportion of total expenses 2,Total assets,Total liabilities,Net assets
Endowment for Health,02-0512290,RFA Community News Funds,https://endowmentforhealth.org/,New Hampshire,Yes,New Hampshire,"Dental care, health, social sciences","Ethnic and racial groups, low-income people, health, immigrants and migrants, age groups",2023,"7,892,572","5,814,681","2,077,891",Contributions received,0.502,Sales of assets,0.441,Dividends,0.058,Interest revenue,<.01,Charitable disbursements,0.813,Compensation of officers,0.056,"96,975,897","2,685,886","94,290,011"
Couch Family Foundation,,RFA Community News Funds,https://www.couchfoundation.org/,New Hampshire,Yes,"New Hampshire, Upper Valley of NH and VT, Martha's Vineyard, MA","Christianity, community and economic development, higher education, opera",,2022,"59,437,546","7,314,043","52,123,503",Sales of Assets ,0.736,Contributions Received ,0.228,Dividends ,0.036,,,Charitable Disbursements,0.834, Compensation of Officers,0.008,"132,171,183",0,"132,171,183"
Eppes-Jefferson Foundation,,RFA Community News Funds,https://e-jfoundation.com/,New Hampshire,CHECK THAT IT'S PLACE-BASED,,Arts and culture,,2023,"277,506","462,424","-184,918",Dividends,0.742,Sales of Assets,0.146,Interest Revenue,0.112,Other Income,<.01,Charitable Disbursements,0.94,Compensation of Officers,0.24,"8,090,611","3,462","8,087,149"
Longwood Foundation,,RFA Community News Funds,https://longwoodfoundation.org/,Delaware,Yes,"Delaware,Kennett Square","Leadership development, community building",,2023,"28,715,921","36,435,477","-7,719,556",Sales of Assets ,.50.4,Dividends,.46.7,Contributions Received,0.015,"Other Income, Interest Received",0.014,Charitable Disbursements,>1,Compensation of Officers,0.01,"807,087,298","65,191,134","741,896,164"
Crestlea Foundation,,RFA Community News Funds,https://crestlea.org/,Delaware,Yes,"Delaware;Southeastern Chester County, PA","Social Services, Education, Health Care,Cultural/Arts,",,2022,"854,726","639,889","214,837",Dividends,0.501,Sales of Assets,0.495,Interest Revenue,0.004,Other Income,,Charitable Disbursements,>1,Compensation of Officers,0,"19,206,313","16,227","19,190,086"
Bernard and Audre Rapoport Foundation,,RFA Community News Funds,https://www.rapoportfdn.org/,Texas,Yes,"Texas, Waco",Arts and culture,Children and Disadvantaged People,,,,,,,,,,,,,,,,,,,
Welfare Foundation,,RFA Community News Funds,,Delaware,Yes,"Delaware;PA, Southern Chester County",Social Welfare,"Communities Across Delaware and Southern Chester County, PA",,,,,,,,,,,,,,,,,,,
The Benter Foundation,,RFA Community News Funds,,"PA,Pittsburgh",CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,
Centre Foundation,,RFA Community News Funds,,"PA, State College",CHECK THAT IT'S PLACE-BASED,,,,,,,,,,,,,,,,,,,,,,
The Foundation for Enhancing Communities,,RFA Community News Funds,https://www.tfec.org,"PA, Harrisburg",Yes,"PA, Harrisburg","Donated Assets, Investment, Grantmaking",Philanthropic Donors,2023,"6,321,119","12,415,926","-6,094,807",Contributions,0.647,Investment Income,0.296,Program Services,0.099,Net Fundraising,<.01,Executive Compensation,0.05,Other Salaries and Wages,0.071,"120,074,104","8,992,392","111,081,712"
